,trade_date,index_name,symbol,circulated_cap,weight,price,create_time
153,20180901,UBI20,NAS,82355000.0,1.3296181600537,1.93,2018-09-08 23:10:55
152,20180901,UBI20,BTM,101001905.800881,1.47247095395433,0.211255,2018-09-08 23:10:55
151,20180901,UBI20,WAN,109196960.652906,1.53104243386623,1.33,2018-09-08 23:10:55
150,20180901,UBI20,IOST,131024320.0,1.67709594771072,0.016107,2018-09-08 23:10:55
149,20180901,UBI20,HSR,153545837.623333,1.81551974414936,3.17,2018-09-08 23:10:55
148,20180901,UBI20,WAVES,203233333.333333,2.08871613931278,2.15,2018-09-08 23:10:55
147,20180901,UBI20,AE,280621008.542366,2.45438135392108,1.18,2018-09-08 23:10:55
146,20180901,UBI20,ICX,293547582.938376,2.51027445548216,0.928876,2018-09-08 23:10:55
145,20180901,UBI20,ZIL,318050424.776164,2.61294303852073,0.045205,2018-09-08 23:10:55
144,20180901,UBI20,ONT,339023719.631667,2.69772076357347,2.54,2018-09-08 23:10:55
143,20180901,UBI20,QTUM,438288827.704,3.06734165546047,4.76,2018-09-08 23:10:55
142,20180901,UBI20,LSK,439876219.139333,3.0728912734733,4.65,2018-09-08 23:10:55
141,20180901,UBI20,VET,727292807.954486,3.9512690148601,0.017366,2018-09-08 23:10:55
140,20180901,UBI20,XEM,1037844599.88468,4.72006649963553,0.106785,2018-09-08 23:10:55
139,20180901,UBI20,NEO,1329271666.66667,5.34181479120523,20.87,2018-09-08 23:10:55
138,20180901,UBI20,ETC,1438935917.634,5.55779698683775,13.11,2018-09-08 23:10:55
137,20180901,UBI20,ADA,2792210676.1758,7.74205128779007,0.105445,2018-09-08 23:10:55
136,20180901,UBI20,XLM,4226582558.89308,9.52525543138704,0.225959,2018-09-08 23:10:55
135,20180901,UBI20,EOS,5054431104.792,10.416410650995,6.62,2018-09-08 23:10:55
134,20180901,UBI20,ETH,32504824721.866,26.4153194178109,287.97,2018-09-08 23:10:55
133,20181001,UBI20,NAS,69084166.6666667,1.31556834835802,1.82,2018-10-11 16:50:57
132,20181001,UBI20,BTM,90632034.7767556,1.50683264236897,0.187362,2018-10-11 16:50:57
131,20181001,UBI20,WAN,106820057.721145,1.63587666952965,0.985994,2018-10-11 16:50:57
130,20181001,UBI20,IOST,107714320.0,1.64270990779934,0.01283,2018-10-11 16:50:57
129,20181001,UBI20,HSR,109029476.295185,1.652707955067,,2018-10-11 16:50:57
128,20181001,UBI20,WAVES,218433333.333333,2.33928755893792,2.19,2018-10-11 16:50:57
127,20181001,UBI20,AE,232900746.081486,2.41551419709843,1.06,2018-10-11 16:50:57
126,20181001,UBI20,ICX,268138750.853424,2.59181468028753,0.659745,2018-10-11 16:50:57
125,20181001,UBI20,ZIL,280450101.89999,2.65064737331326,0.035905,2018-10-11 16:50:57
124,20181001,UBI20,QTUM,338380406.826667,2.91156680029874,3.87,2018-10-11 16:50:57
123,20181001,UBI20,ONT,362395003.368667,3.01311186094378,2.01,2018-10-11 16:50:57
122,20181001,UBI20,LSK,401670830.155333,3.17219080130187,3.39,2018-10-11 16:50:57
121,20181001,UBI20,VET,804653747.42148,4.48981734740241,0.012955,2018-10-11 16:50:57
120,20181001,UBI20,XEM,873903899.9029,4.67903176153111,0.096714,2018-10-11 16:50:57
119,20181001,UBI20,ETC,1209251600.764,5.50405151456408,11.32,2018-10-11 16:50:57
118,20181001,UBI20,NEO,1242540000.0,5.57929524164651,19.0,2018-10-11 16:50:57
117,20181001,UBI20,ADA,2119782595.18024,7.28735313748444,0.084907,2018-10-11 16:50:57
116,20181001,UBI20,XLM,4215383915.09104,10.2764407240341,0.259686,2018-10-11 16:50:57
115,20181001,UBI20,EOS,5020597953.72,11.2150671141029,5.73,2018-10-11 16:50:57
114,20181001,UBI20,ETH,23224502871.7053,24.12111436393,231.87,2018-10-11 16:50:57
113,20181101,UBI20,NAS,75530000.0,1.43024914915957,1.49,2018-11-03 10:59:40
112,20181101,UBI20,BTM,96417113.6514374,1.61595409283586,0.202896,2018-11-03 10:59:40
111,20181101,UBI20,IOST,103265680.0,1.67236072744662,0.012682,2018-11-03 10:59:40
110,20181101,UBI20,WAN,108091902.585526,1.71099419590962,1.13,2018-11-03 10:59:40
109,20181101,UBI20,WAVES,198800000.0,2.32038551521692,1.85,2018-11-03 10:59:40
108,20181101,UBI20,ICX,257377070.522244,2.64020033871596,0.654854,2018-11-03 10:59:40
107,20181101,UBI20,ZIL,272369839.517955,2.71601061643203,0.035057,2018-11-03 10:59:40
106,20181101,UBI20,AE,276983667.717333,2.73891804049489,1.25,2018-11-03 10:59:40
105,20181101,UBI20,LSK,337435714.399333,3.02306495733476,2.79,2018-11-03 10:59:40
104,20181101,UBI20,QTUM,343857864.7,3.05169718240209,3.9,2018-11-03 10:59:40
103,20181101,UBI20,ONT,373040057.015667,3.17855470369647,1.66,2018-11-03 10:59:40
102,20181101,UBI20,VET,656469453.58008,4.21656905339263,0.010626,2018-11-03 10:59:40
101,20181101,UBI20,XEM,880809299.902133,4.8841939512919,0.092279,2018-11-03 10:59:40
100,20181101,UBI20,ETC,1054073302.093,5.34302692221131,9.05,2018-11-03 10:59:40
99,20181101,UBI20,NEO,1091978333.33333,5.43824746901593,15.45,2018-11-03 10:59:40
98,20181101,UBI20,ADA,1988344446.85217,7.33833892647294,0.070109,2018-11-03 10:59:40
97,20181101,UBI20,XLM,4440047955.7756,10.965938001061,0.225115,2018-11-03 10:59:40
96,20181101,UBI20,EOS,4945077527.22,11.5728016076805,5.42,2018-11-03 10:59:40
95,20181101,UBI20,ETH,21520897180.2617,24.142494549229,199.95,2018-11-03 10:59:40
94,20181201,UBI20,NAS,49826717.3793103,1.30072153957849,0.726147,2018-12-01 16:01:52
93,20181201,UBI20,BTM,75578414.3099744,1.60196152704871,0.097464,2018-12-01 16:01:52
92,20181201,UBI20,WAN,75732867.2391471,1.6035975852409,0.391625,2018-12-01 16:01:52
91,20181201,UBI20,IOST,87162916.8678232,1.72035895130026,0.004698,2018-12-01 16:01:52
90,20181201,UBI20,WAVES,147521306.896552,2.23810557706768,1.24,2018-12-01 16:01:52
89,20181201,UBI20,ICX,189095121.209962,2.53392266303251,0.252637,2018-12-01 16:01:52
88,20181201,UBI20,ZIL,208345951.714371,2.65978006702748,0.017153,2018-12-01 16:01:52
87,20181201,UBI20,AE,209984212.771476,2.67021675130578,0.549825,2018-12-01 16:01:52
86,20181201,UBI20,LSK,241439780.534138,2.86323904464072,1.37,2018-12-01 16:01:52
85,20181201,UBI20,QTUM,274196428.502069,3.05129425044395,2.02,2018-12-01 16:01:52
84,20181201,UBI20,ONT,311751431.703353,3.25354952721463,0.767521,2018-12-01 16:01:52
83,20181201,UBI20,VET,431259999.146193,3.82668560528174,0.004745,2018-12-01 16:01:52
82,20181201,UBI20,ETC,776134510.552069,5.13359603877228,4.51,2018-12-01 16:01:52
81,20181201,UBI20,XEM,789850861.981204,5.17875948920969,0.075247,2018-12-01 16:01:52
80,20181201,UBI20,NEO,804498275.862069,5.22655774133674,7.59,2018-12-01 16:01:52
79,20181201,UBI20,ADA,1540539147.41146,7.23251866809804,0.038332,2018-12-01 16:01:52
78,20181201,UBI20,EOS,4045915704.39517,11.7209174954222,2.85,2018-12-01 16:01:52
77,20181201,UBI20,XLM,4150043326.57433,11.8707869134033,0.15719,2018-12-01 16:01:52
76,20181201,UBI20,ETH,17409491821.3397,24.3134305645749,111.65,2018-12-01 16:01:52
75,20190101,UBI20,NAS,27701963.6833333,1.23052462207901,0.582901,2019-01-01 16:02:30
74,20190101,UBI20,WAN,38030085.989687,1.44177896156425,0.337769,2019-01-01 16:02:30
73,20190101,UBI20,BTM,40642948.8456434,1.49048508888801,0.077358,2019-01-01 16:02:30
72,20190101,UBI20,IOST,55907731.7126325,1.74811889301293,0.00539,2019-01-01 16:02:30
71,20190101,UBI20,AE,96978794.0329699,2.30236099910036,0.384642,2019-01-01 16:02:30
70,20190101,UBI20,ICX,109537139.293676,2.44689722034781,0.235149,2019-01-01 16:02:30
69,20190101,UBI20,ZIL,140388660.485124,2.77013570743929,0.019889,2019-01-01 16:02:30
68,20190101,UBI20,LSK,152999263.586333,2.89187622328639,1.34,2019-01-01 16:02:30
67,20190101,UBI20,ONT,181054932.260893,3.14586593332585,0.586095,2019-01-01 16:02:30
66,20190101,UBI20,QTUM,182507904.969333,3.15846355653114,2.17,2019-01-01 16:02:30
65,20190101,UBI20,VET,232335005.40924,3.56362793583938,0.003955,2019-01-01 16:02:30
64,20190101,UBI20,WAVES,263533333.333333,3.79535852992799,3.17,2019-01-01 16:02:30
63,20190101,UBI20,NEO,451056666.666667,4.96535819417938,7.49,2019-01-01 16:02:30
62,20190101,UBI20,ETC,473989133.326,5.09001688353098,5.09,2019-01-01 16:02:30
61,20190101,UBI20,XEM,635193599.929423,5.89234391475841,0.063732,2019-01-01 16:02:30
60,20190101,UBI20,ADA,937780412.888091,7.15954806579493,0.040953,2019-01-01 16:02:30
59,20190101,UBI20,EOS,2126957291.946,10.7823745790323,2.57,2019-01-01 16:02:30
58,20190101,UBI20,XLM,2328995890.36843,11.2828649894284,0.113339,2019-01-01 16:02:30
57,20190101,UBI20,ETH,11290236617.721,24.8419997019332,134.75,2019-01-01 16:02:30
56,20190201,UBI20,NAS,25614495.725,1.15829833132844,,2019-02-01 16:03:00
55,20190201,UBI20,WAN,34414675.3839725,1.34260841311965,,2019-02-01 16:03:00
54,20190201,UBI20,BTM,39405515.838264,1.43666672821544,,2019-02-01 16:03:00
53,20190201,UBI20,IOST,74340671.7195616,1.9732893228922,,2019-02-01 16:03:00
52,20190201,UBI20,AE,94876801.7958976,2.22924367886839,,2019-02-01 16:03:00
51,20190201,UBI20,ICX,110529857.338189,2.40612026172791,,2019-02-01 16:03:00
50,20190201,UBI20,LSK,141868711.006,2.72596852465567,,2019-02-01 16:03:00
49,20190201,UBI20,ZIL,179270025.347426,3.0643005947985,,2019-02-01 16:03:00
48,20190201,UBI20,QTUM,186273356.97,3.12358189021924,,2019-02-01 16:03:00
47,20190201,UBI20,ONT,190720787.636839,3.16065098384029,,2019-02-01 16:03:00
46,20190201,UBI20,VET,229832148.3786,3.46962799967783,,2019-02-01 16:03:00
45,20190201,UBI20,WAVES,280850000.0,3.83543599432653,,2019-02-01 16:03:00
44,20190201,UBI20,ETC,479083146.0755,5.0093684014406,,2019-02-01 16:03:00
43,20190201,UBI20,NEO,496697500.0,5.10062637863815,,2019-02-01 16:03:00
42,20190201,UBI20,XEM,510150149.943317,5.16923807874441,,2019-02-01 16:03:00
41,20190201,UBI20,ADA,1113148957.41791,7.63579336854688,,2019-02-01 16:03:00
40,20190201,UBI20,XLM,1996231316.00785,10.2254624374106,,2019-02-01 16:03:00
39,20190201,UBI20,EOS,2241597299.373,10.8356837913727,,2019-02-01 16:03:00
38,20190201,UBI20,ETH,13003508963.853,26.0980348201766,,2019-02-01 16:03:00
37,20190301,UBI20,NAS,26622675.625,1.18224291860108,,2019-03-01 16:03:30
36,20190301,UBI20,WAN,31062342.50166,1.27702080578392,,2019-03-01 16:03:30
35,20190301,UBI20,BTM,41969955.5087212,1.48439719644076,,2019-03-01 16:03:30
34,20190301,UBI20,IOST,82130472.3945262,2.07650524017716,,2019-03-01 16:03:30
33,20190301,UBI20,AE,96384024.812888,2.24948654504615,,2019-03-01 16:03:30
32,20190301,UBI20,ICX,111865408.61604,2.42342050207262,,2019-03-01 16:03:30
31,20190301,UBI20,LSK,133890697.9975,2.65128291877147,,2019-03-01 16:03:30
30,20190301,UBI20,ZIL,148763994.432806,2.79466519690959,,2019-03-01 16:03:30
29,20190301,UBI20,QTUM,177185253.7,3.04996361500123,,2019-03-01 16:03:30
28,20190301,UBI20,VET,233270341.9362,3.49953735783975,,2019-03-01 16:03:30
27,20190301,UBI20,ONT,243417686.176642,3.57484269345382,,2019-03-01 16:03:30
26,20190301,UBI20,WAVES,277500000.0,3.81691391126537,,2019-03-01 16:03:30
25,20190301,UBI20,XEM,394589249.956157,4.55148898122394,,2019-03-01 16:03:30
24,20190301,UBI20,ETC,450944747.4975,4.86566872901591,,2019-03-01 16:03:30
23,20190301,UBI20,NEO,541450000.0,5.33163057774359,,2019-03-01 16:03:30
22,20190301,UBI20,ADA,1076446596.36432,7.51756367726588,,2019-03-01 16:03:30
21,20190301,UBI20,XLM,1590136957.40282,9.13688453633713,,2019-03-01 16:03:30
20,20190301,UBI20,EOS,2784438125.055,12.0906502061644,,2019-03-01 16:03:30
19,20190301,UBI20,ETH,13301348610.75,26.4258343908862,,2019-03-01 16:03:30
18,20190401,UBI20,NAS,37899706.5416667,1.28302434273212,0.989445,2019-04-01 16:04:56
17,20190401,UBI20,WAN,43107337.6147743,1.36833543292172,0.433322,2019-04-01 16:04:56
16,20190401,UBI20,BTM,51889250.713557,1.50125916736972,0.114856,2019-04-01 16:04:56
15,20190401,UBI20,IOST,98986566.7258536,2.07350507829352,0.01016,2019-04-01 16:04:56
14,20190401,UBI20,AE,117727451.792769,2.26128782570727,0.525567,2019-04-01 16:04:56
13,20190401,UBI20,ICX,155883748.730213,2.60206051960166,0.347773,2019-04-01 16:04:56
12,20190401,UBI20,ZIL,160010409.863317,2.6362773084431,0.020664,2019-04-01 16:04:56
11,20190401,UBI20,LSK,173136029.577083,2.74227307535802,1.75,2019-04-01 16:04:56
10,20190401,UBI20,QTUM,220772579.868333,3.09663158378625,3.02,2019-04-01 16:04:56
9,20190401,UBI20,WAVES,275750000.0,3.46078590435381,2.81,2019-04-01 16:04:56
8,20190401,UBI20,VET,298579845.23295,3.60119979684096,0.006162,2019-04-01 16:04:56
7,20190401,UBI20,XEM,441087749.95099,4.37702947287041,0.055765,2019-04-01 16:04:56
6,20190401,UBI20,ETC,499097462.376667,4.65596442736463,4.83,2019-04-01 16:04:56
5,20190401,UBI20,ONT,514113602.408444,4.72548642574131,1.34,2019-04-01 16:04:56
